문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
256,1.0,0.9591,"[(0, 0.010104959), (1, 0.9591161), (2, 0.010151818), (3, 0.0102366395), (4, 0.0103904735)]"
257,1.0,0.9575,"[(0, 0.010624661), (1, 0.9574833), (2, 0.01059791), (3, 0.010664074), (4, 0.010630104)]"
258,1.0,0.9519,"[(0, 0.011911253), (1, 0.95191014), (2, 0.012037747), (3, 0.012102351), (4, 0.012038517)]"
259,1.0,0.9549,"[(0, 0.011214935), (1, 0.95492744), (2, 0.011287214), (3, 0.01129154), (4, 0.01127886)]"
260,1.0,0.9931,"[(1, 0.99312353)]"
261,1.0,0.9792,"[(1, 0.9792113)]"
262,1.0,0.9833,"[(1, 0.98332673)]"
263,1.0,0.6427,"[(1, 0.6427186), (3, 0.3508532)]"
264,1.0,0.9905,"[(1, 0.99053466)]"
265,1.0,0.8229,"[(1, 0.8229061), (3, 0.11486655), (4, 0.051828403)]"
266,1.0,0.8788,"[(1, 0.8788108), (3, 0.11442019)]"
267,1.0,0.9948,"[(1, 0.9947783)]"
268,1.0,0.9853,"[(1, 0.9852744)]"
269,1.0,0.9906,"[(1, 0.9905792)]"
270,1.0,0.9775,"[(1, 0.97745156)]"
271,1.0,0.8337,"[(1, 0.8336999), (3, 0.15694512)]"
272,1.0,0.9701,"[(1, 0.9700634)]"
273,1.0,0.9727,"[(1, 0.97265697)]"
274,1.0,0.9823,"[(1, 0.98229706)]"
275,1.0,0.9964,"[(1, 0.9963906)]"
276,1.0,0.9614,"[(1, 0.96141833)]"
277,1.0,0.6301,"[(0, 0.010328015), (1, 0.6301015), (2, 0.010153902), (3, 0.27285382), (4, 0.07656277)]"
278,1.0,0.9738,"[(1, 0.9737762)]"
279,1.0,0.973,"[(1, 0.97302115)]"
280,1.0,0.9807,"[(1, 0.98068464)]"
281,1.0,0.9916,"[(1, 0.9916446)]"
282,1.0,0.9661,"[(1, 0.9661181)]"
283,1.0,0.9858,"[(1, 0.9857847)]"
284,1.0,0.979,"[(1, 0.9790498)]"
285,1.0,0.9922,"[(1, 0.99222004)]"
286,1.0,0.9823,"[(1, 0.9823119)]"
287,0.0,0.4861,"[(0, 0.48610428), (1, 0.38280872), (2, 0.03584321), (3, 0.09431615)]"
288,1.0,0.9816,"[(1, 0.9816398)]"
289,1.0,0.8493,"[(1, 0.8493138), (3, 0.13872077)]"
290,1.0,0.885,"[(1, 0.88502234), (3, 0.10859853)]"
